recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps,preparacion_detallada,ingredientes_con_cantidades
Ceviche Clásico de Pescado,Entradas y Piqueos,Costa,"El plato bandera del Perú: pescado fresco marinado en limón con cebolla, ají y camote, de sabor cítrico e intenso.","[""pescado blanco"", ""jugo de limón"", ""cebolla roja"", ""ajíes limo"", ""ajo"", ""sal"", ""pimienta"", ""camote"", ""choclo"", ""hojas de lechuga"", ""culantro""]","[""Sazonar los cubos de pescado con sal, pimienta y ajo molido."", ""Agregar el jugo de limón y mezclar suavemente; dejar reposar 5 minutos hasta que el pescado se vuelva opaco."", ""Incorporar la cebolla en pluma y el ají limo picado, mezclar con cuidado."", ""Servir de inmediato sobre hojas de lechuga, acompañado de camote, choclo y culantro picado.""]",11,4,"[""Sazonar los cubos de pescado con sal, pimienta y ajo molido. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Agregar el jugo de limón y mezclar suavemente; dejar reposar 5 minutos hasta que el pescado se vuelva opaco. Tapar con film y mantener en refrigeración durante el reposo para que los sabores se integren mejor."", ""Incorporar la cebolla en pluma y el ají limo picado, mezclar con cuidado. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Servir de inmediato sobre hojas de lechuga, acompañado de camote, choclo y culantro picado. Servir en el momento, en platos previamente calientes o fríos según corresponda, cuidando la presentación.""]","[""pescado blanco: 600 g (en filetes)"", ""jugo de limón: 1/2 taza (4-5 limones)"", ""cebolla roja: 1 unidad mediana (150 g)"", ""ajíes limo: 2 unidades"", ""ajo: 2 dientes"", ""sal: al gusto"", ""pimienta: 1/4 cdta"", ""camote: 1 unidad mediana (200 g)"", ""choclo: 1 unidad (mazorca)"", ""hojas de lechuga: 1/4 taza picadas"", ""culantro: 1/4 taza picado""]"
Ceviche Mixto,Entradas y Piqueos,Costa,Una variante del ceviche clásico que combina pescado y mariscos frescos en una marinada cítrica y picante.,"[""pescado blanco"", ""pota o calamar"", ""langostinos"", ""conchas de abanico"", ""jugo de limón"", ""cebolla roja"", ""ajíes limo"", ""sal"", ""pimienta"", ""culantro""]","[""Blanquear brevemente la pota, los langostinos y las conchas en agua hirviendo con sal; enfriar de inmediato."", ""Mezclar los mariscos con el pescado crudo, sazonar con sal y pimienta."", ""Bañar con el jugo de limón y dejar reposar unos minutos."", ""Añadir la cebolla, el ají limo y el culantro, mezclar y servir frío con camote y choclo.""]",10,4,"[""Blanquear brevemente la pota, los langostinos y las conchas en agua hirviendo con sal; enfriar de inmediato. Dejar enfriar a temperatura ambiente antes de llevar a refrigeración, para evitar condensación."", ""Mezclar los mariscos con el pescado crudo, sazonar con sal y pimienta. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Bañar con el jugo de limón y dejar reposar unos minutos. Tapar con film y mantener en refrigeración durante el reposo para que los sabores se integren mejor."", ""Añadir la cebolla, el ají limo y el culantro, mezclar y servir frío con camote y choclo. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación.""]","[""pescado blanco: 600 g (en filetes)"", ""pota o calamar: 400 g en anillas"", ""langostinos: 300 g"", ""conchas de abanico: 200 g (12 unidades)"", ""jugo de limón: 1/2 taza (4-5 limones)"", ""cebolla roja: 1 unidad mediana (150 g)"", ""ajíes limo: 2 unidades"", ""sal: al gusto"", ""pimienta: 1/4 cdta"", ""culantro: 1/4 taza picado""]"
Tiradito de Pescado,Entradas y Piqueos,Costa,"Finas láminas de pescado bañadas en una crema cítrica de ají amarillo, inspirado en la técnica del sashimi.","[""filete de pescado blanco"", ""jugo de limón"", ""ají amarillo"", ""ajo"", ""sal"", ""cebolla china""]","[""Licuar el jugo de limón con el ají amarillo, el ajo y sal hasta obtener una crema."", ""Acomodar las láminas de pescado en un plato extendido."", ""Bañar el pescado con la crema de limón y ají justo antes de servir."", ""Decorar con cebolla china picada y servir de inmediato bien frío.""]",6,4,"[""Licuar el jugo de limón con el ají amarillo, el ajo y sal hasta obtener una crema. Licuar a velocidad alta durante 1-2 minutos, deteniéndose para raspar los bordes del vaso hasta obtener una textura homogénea y sin grumos."", ""Acomodar las láminas de pescado en un plato extendido. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Bañar el pescado con la crema de limón y ají justo antes de servir. Servir en el momento, en platos previamente calientes o fríos según corresponda, cuidando la presentación."", ""Decorar con cebolla china picada y servir de inmediato bien frío. Servir en el momento, en platos previamente calientes o fríos según corresponda, cuidando la presentación.""]","[""filete de pescado blanco: 600 g"", ""jugo de limón: 1/2 taza (4-5 limones)"", ""ají amarillo: 3 unidades (o 3 cdas de pasta)"", ""ajo: 2 dientes"", ""sal: al gusto"", ""cebolla china: 2 tallos""]"
Causa Limeña de Pollo,Entradas y Piqueos,Costa,"Capas de puré de papa amarilla sazonada con ají y limón, rellenas de pollo deshilachado con mayonesa.","[""papa amarilla"", ""ají amarillo"", ""jugo de limones"", ""aceite vegetal"", ""sal"", ""pechugas de pollo"", ""mayonesa"", ""palta"", ""aceitunas negras""]","[""Mezclar la papa prensada con el ají amarillo, el jugo de limón, aceite y sal hasta lograr una masa uniforme."", ""Mezclar el pollo deshilachado con mayonesa."", ""Formar una capa de papa en un molde, agregar el relleno de pollo y láminas de palta, cubrir con otra capa de papa."", ""Refrigerar 30 minutos, desmoldar y decorar con aceitunas antes de servir.""]",9,4,"[""Mezclar la papa prensada con el ají amarillo, el jugo de limón, aceite y sal hasta lograr una masa uniforme. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Mezclar el pollo deshilachado con mayonesa. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Formar una capa de papa en un molde, agregar el relleno de pollo y láminas de palta, cubrir con otra capa de papa. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Refrigerar 30 minutos, desmoldar y decorar con aceitunas antes de servir. Servir en el momento, en platos previamente calientes o fríos según corresponda, cuidando la presentación.""]","[""papa amarilla: 500 g"", ""ají amarillo: 3 unidades (o 3 cdas de pasta)"", ""jugo de limones: 1/2 taza (4-5 limones)"", ""aceite vegetal: 3 cdas"", ""sal: al gusto"", ""pechugas de pollo: 2 unidades (500 g)"", ""mayonesa: 4 cdas"", ""palta: 1 unidad"", ""aceitunas negras: 10 unidades""]"
Causa Rellena de Atún,Entradas y Piqueos,Costa,"Versión de la causa limeña rellena con atún y mayonesa, fresca y fácil de preparar.","[""papa amarilla"", ""ají amarillo"", ""jugo de limones"", ""aceite vegetal"", ""sal"", ""atún"", ""mayonesa"", ""palta""]","[""Sazonar la papa prensada con ají amarillo, limón, aceite y sal."", ""Mezclar el atún escurrido con mayonesa."", ""Armar capas de papa y relleno de atún en un molde, terminando con papa."", ""Enfriar antes de desmoldar y decorar con palta.""]",8,4,"[""Sazonar la papa prensada con ají amarillo, limón, aceite y sal. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Mezclar el atún escurrido con mayonesa. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Armar capas de papa y relleno de atún en un molde, terminando con papa. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Enfriar antes de desmoldar y decorar con palta. Dejar enfriar a temperatura ambiente antes de llevar a refrigeración, para evitar condensación.""]","[""papa amarilla: 500 g"", ""ají amarillo: 3 unidades (o 3 cdas de pasta)"", ""jugo de limones: 1/2 taza (4-5 limones)"", ""aceite vegetal: 3 cdas"", ""sal: al gusto"", ""atún: 2 latas (340 g)"", ""mayonesa: 4 cdas"", ""palta: 1 unidad""]"
Papa a la Huancaina,Entradas y Piqueos,Sierra,"Papas sancochadas bañadas en una cremosa salsa de ají amarillo y queso fresco, un clásico infaltable.","[""papas amarillas"", ""queso fresco"", ""ajíes amarillos"", ""leche evaporada"", ""galletas de soda"", ""sal"", ""hojas de lechuga"", ""aceitunas""]","[""Licuar el queso fresco, el ají amarillo, la leche y las galletas hasta obtener una salsa cremosa; sazonar con sal."", ""Cortar las papas sancochadas en rodajas gruesas."", ""Colocar la lechuga en un plato, disponer las papas encima."", ""Bañar con la salsa huancaína y decorar con aceitunas y huevo sancochado si se desea.""]",8,4,"[""Licuar el queso fresco, el ají amarillo, la leche y las galletas hasta obtener una salsa cremosa; sazonar con sal. Licuar a velocidad alta durante 1-2 minutos, deteniéndose para raspar los bordes del vaso hasta obtener una textura homogénea y sin grumos."", ""Cortar las papas sancochadas en rodajas gruesas. Cortar en trozos uniformes (aproximadamente 1 cm) para asegurar una cocción pareja."", ""Colocar la lechuga en un plato, disponer las papas encima. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Bañar con la salsa huancaína y decorar con aceitunas y huevo sancochado si se desea. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa.""]","[""papas amarillas: 500 g"", ""queso fresco: 200 g"", ""ajíes amarillos: 3 unidades"", ""leche evaporada: 1 lata (410 ml)"", ""galletas de soda: 10 unidades molidas"", ""sal: al gusto"", ""hojas de lechuga: 1/4 taza picadas"", ""aceitunas: 10 unidades""]"
Ocopa Arequipeña,Entradas y Piqueos,Sierra,"Papas bañadas en una salsa arequipeña a base de huacatay, ají mirasol y maní tostado.","[""papas amarillas"", ""ramo de huacatay"", ""ajíes mirasol"", ""maní"", ""queso fresco"", ""leche evaporada"", ""aceite vegetal"", ""sal""]","[""Sofreír el ají mirasol en un poco de aceite."", ""Licuar el ají sofrito con el huacatay, el maní, el queso, la leche y sal hasta obtener una crema espesa."", ""Cortar las papas en rodajas y colocarlas en un plato."", ""Bañar con la salsa de ocopa y decorar con huevo sancochado y aceitunas.""]",8,4,"[""Sofreír el ají mirasol en un poco de aceite. Usar aceite bien caliente (unos 175 °C) y freír por tandas para que no se enfríe el aceite, hasta lograr un dorado uniforme."", ""Licuar el ají sofrito con el huacatay, el maní, el queso, la leche y sal hasta obtener una crema espesa. Licuar a velocidad alta durante 1-2 minutos, deteniéndose para raspar los bordes del vaso hasta obtener una textura homogénea y sin grumos."", ""Cortar las papas en rodajas y colocarlas en un plato. Cortar en trozos uniformes (aproximadamente 1 cm) para asegurar una cocción pareja."", ""Bañar con la salsa de ocopa y decorar con huevo sancochado y aceitunas. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa.""]","[""papas amarillas: 500 g"", ""ramo de huacatay: 1 ramo"", ""ajíes mirasol: 3 unidades"", ""maní: 1/2 taza (60 g) tostado y molido"", ""queso fresco: 200 g"", ""leche evaporada: 1 lata (410 ml)"", ""aceite vegetal: 3 cdas"", ""sal: al gusto""]"
Solterito de Queso,Entradas y Piqueos,Sierra,"Ensalada arequipeña fresca de habas, choclo, queso y tomate aliñada con un vinagreta sencilla.","[""habas"", ""choclo"", ""queso fresco"", ""tomate"", ""cebolla roja"", ""aceitunas negras"", ""aceite de oliva"", ""vinagre"", ""sal"", ""pimienta""]","[""Mezclar en un bol las habas, el choclo, el queso, el tomate y la cebolla."", ""Añadir las aceitunas negras."", ""Aliñar con aceite de oliva, vinagre, sal y pimienta al gusto."", ""Mezclar bien y servir frío como entrada.""]",10,4,"[""Mezclar en un bol las habas, el choclo, el queso, el tomate y la cebolla. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Añadir las aceitunas negras. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Aliñar con aceite de oliva, vinagre, sal y pimienta al gusto. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Mezclar bien y servir frío como entrada. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación.""]","[""habas: 1 taza (150 g)"", ""choclo: 1 unidad (mazorca)"", ""queso fresco: 200 g"", ""tomate: 1 unidad mediana"", ""cebolla roja: 1 unidad mediana (150 g)"", ""aceitunas negras: 10 unidades"", ""aceite de oliva: 2 cdas"", ""vinagre: 1 cda"", ""sal: al gusto"", ""pimienta: 1/4 cdta""]"
Choros a la Chalaca,Entradas y Piqueos,Costa,"Choros (mejillones) al vapor cubiertos con una fresca salsa criolla de cebolla, tomate, choclo y limón.","[""choros"", ""cebolla roja"", ""tomate"", ""choclo"", ""jugo de limones"", ""ají limo"", ""sal"", ""pimienta"", ""culantro""]","[""Cocinar los choros al vapor hasta que se abran; retirar una de las valvas de cada uno."", ""Mezclar la cebolla, el tomate, el choclo y el ají limo en un bol."", ""Aliñar la mezcla con jugo de limón, sal y pimienta."", ""Colocar una cucharada de la mezcla sobre cada choro y decorar con culantro.""]",9,4,"[""Cocinar los choros al vapor hasta que se abran; retirar una de las valvas de cada uno. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Mezclar la cebolla, el tomate, el choclo y el ají limo en un bol. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Aliñar la mezcla con jugo de limón, sal y pimienta. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Colocar una cucharada de la mezcla sobre cada choro y decorar con culantro. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa.""]","[""choros: 500 g"", ""cebolla roja: 1 unidad mediana (150 g)"", ""tomate: 1 unidad mediana"", ""choclo: 1 unidad (mazorca)"", ""jugo de limones: 1/2 taza (4-5 limones)"", ""ají limo: 1-2 unidades"", ""sal: al gusto"", ""pimienta: 1/4 cdta"", ""culantro: 1/4 taza picado""]"
Conchitas a la Parmesana,Entradas y Piqueos,Costa,"Conchas de abanico gratinadas con mantequilla, ajo y queso parmesano, doradas al horno.","[""conchas de abanico"", ""mantequilla"", ""ajo"", ""queso parmesano"", ""perejil"", ""sal"", ""pimienta""]","[""Precalentar el horno y colocar las conchas en una bandeja."", ""Mezclar la mantequilla derretida con el ajo, sal y pimienta."", ""Bañar cada concha con la mezcla de mantequilla y cubrir con queso parmesano."", ""Gratinar en el horno hasta que el queso dore y servir con perejil picado.""]",7,4,"[""Precalentar el horno y colocar las conchas en una bandeja. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Mezclar la mantequilla derretida con el ajo, sal y pimienta. Integrar con movimientos envolventes, de abajo hacia arriba, para no perder aire ni romper la textura de la preparación."", ""Bañar cada concha con la mezcla de mantequilla y cubrir con queso parmesano. Realizar este paso con cuidado, verificando textura, color y sazón antes de continuar con la siguiente etapa."", ""Gratinar en el horno hasta que el queso dore y servir con perejil picado. Servir en el momento, en platos previamente calientes o fríos según corresponda, cuidando la presentación.""]","[""conchas de abanico: 200 g (12 unidades)"", ""mantequilla: 2 cdas (30 g)"", ""ajo: 2 dientes"", ""queso parmesano: 50 g rallado"", ""perejil: 1/4 taza picado"", ""sal: al gusto"", ""pimienta: 1/4 cdta""]"
